X,Y_1,Y_2,Y_3,Y_4,Y_5
0.545,13.303645768543339,14.8,0.49936119999999995,0.5219592837077027,2.2370435856837814
0.546,13.060728144765685,12.0,0.5687816000000001,0.6357059785929707,1.8464201985543602
0.547,13.324073126581713,12.2,0.5859582000000001,0.6407281737331249,1.780443888751045
0.548,13.22942303824737,12.0,0.6240558,0.6496047698111469,1.7475686236310364
0.549,13.261618265746273,12.0,0.6173446,0.6658545649750174,1.6174114795732215
0.55,14.044921194311394,12.0,0.49361397999999995,0.5736968568019608,1.9627437133912906
0.56,15.087698690531372,12.0,0.528342,0.620868611000719,1.7871879363000311
0.57,15.863031580292049,12.0,0.6870664000000001,0.6775443930387753,1.2631296180191822
0.58,17.837612976096153,12.0,0.6929478,0.7020822999065445,1.2468081609838921
0.59,27.07394908020053,13.6,0.3106366,0.5783464032361779,2.1917171099951753
